,location,coords,lat,lon,year,period,period_date,value
110,"Los Angeles-Riverside-Orange County, CA","{'lat': 34.0522342, 'lon': -118.2436849}",34.0522342,-118.2436849,2013,M10,2013-10-01,256.581
111,"Los Angeles-Riverside-Orange County, CA","{'lat': 34.0522342, 'lon': -118.2436849}",34.0522342,-118.2436849,2013,M09,2013-09-01,255.249
112,"Los Angeles-Riverside-Orange County, CA","{'lat': 34.0522342, 'lon': -118.2436849}",34.0522342,-118.2436849,2013,M08,2013-08-01,255.019
113,"Los Angeles-Riverside-Orange County, CA","{'lat': 34.0522342, 'lon': -118.2436849}",34.0522342,-118.2436849,2013,M07,2013-07-01,254.436
114,"Los Angeles-Riverside-Orange County, CA","{'lat': 34.0522342, 'lon': -118.2436849}",34.0522342,-118.2436849,2013,M06,2013-06-01,254.439
115,"Los Angeles-Riverside-Orange County, CA","{'lat': 34.0522342, 'lon': -118.2436849}",34.0522342,-118.2436849,2013,M05,2013-05-01,254.275
116,"Los Angeles-Riverside-Orange County, CA","{'lat': 34.0522342, 'lon': -118.2436849}",34.0522342,-118.2436849,2013,M04,2013-04-01,253.146
117,"Los Angeles-Riverside-Orange County, CA","{'lat': 34.0522342, 'lon': -118.2436849}",34.0522342,-118.2436849,2013,M03,2013-03-01,253.654
118,"Los Angeles-Riverside-Orange County, CA","{'lat': 34.0522342, 'lon': -118.2436849}",34.0522342,-118.2436849,2013,M02,2013-02-01,253.419
119,"Los Angeles-Riverside-Orange County, CA","{'lat': 34.0522342, 'lon': -118.2436849}",34.0522342,-118.2436849,2013,M01,2013-01-01,253.033
120,"Kansas City, MO-KS","{'lat': 39.0997265, 'lon': -94.5785667}",39.0997265,-94.5785667,2017,M11,2017-11-01,173.796
121,"Kansas City, MO-KS","{'lat': 39.0997265, 'lon': -94.5785667}",39.0997265,-94.5785667,2017,M09,2017-09-01,174.155
122,"Kansas City, MO-KS","{'lat': 39.0997265, 'lon': -94.5785667}",39.0997265,-94.5785667,2017,M07,2017-07-01,173.451
123,"Kansas City, MO-KS","{'lat': 39.0997265, 'lon': -94.5785667}",39.0997265,-94.5785667,2017,M05,2017-05-01,172.744
124,"Kansas City, MO-KS","{'lat': 39.0997265, 'lon': -94.5785667}",39.0997265,-94.5785667,2017,M03,2017-03-01,172.136
125,"Kansas City, MO-KS","{'lat': 39.0997265, 'lon': -94.5785667}",39.0997265,-94.5785667,2017,M01,2017-01-01,170.882
126,"Kansas City, MO-KS","{'lat': 39.0997265, 'lon': -94.5785667}",39.0997265,-94.5785667,2016,M11,2016-11-01,170.965
127,"Kansas City, MO-KS","{'lat': 39.0997265, 'lon': -94.5785667}",39.0997265,-94.5785667,2016,M09,2016-09-01,171.416
